iter	Passed	Remaining
0	183	183074
1	265	132699
2	342	113944
3	419	104373
4	494	98482
5	572	94866
6	646	91776
7	724	89869
8	801	88235
9	878	87000
10	957	86116
11	1036	85338
12	1124	85367
13	1209	85199
14	1294	84980
15	1378	84791
16	1461	84519
17	1543	84194
18	1622	83767
19	1703	83456
20	1787	83321
21	1866	82983
22	1945	82661
23	2025	82383
24	2106	82156
25	2190	82049
26	2269	81800
27	2354	81731
28	2433	81484
29	2513	81264
30	2594	81099
31	2679	81061
32	2761	80908
33	2841	80740
34	2918	80478
35	3000	80353
36	3081	80191
37	3162	80052
38	3243	79912
39	3327	79849
40	3415	79889
41	3497	79771
42	3580	79682
43	3662	79566
44	3746	79510
45	3829	79417
46	3908	79246
47	3988	79110
48	4069	78990
49	4149	78835
50	4232	78752
51	4313	78646
52	4393	78500
53	4476	78418
54	4558	78328
55	4641	78249
56	4721	78106
57	4801	77986
58	4882	77866
59	4964	77776
60	5046	77678
61	5125	77551
62	5206	77443
63	5286	77310
64	5365	77185
65	5453	77178
66	5534	77068
67	5616	76985
68	5696	76862
69	5777	76752
70	5862	76707
71	5946	76649
72	6028	76559
73	6107	76423
74	6187	76315
75	6273	76271
76	6354	76169
77	6437	76091
78	6519	76004
79	6605	75967
80	6695	75960
81	6777	75875
82	6860	75795
83	6943	75712
84	7023	75605
85	7107	75540
86	7187	75430
87	7267	75312
88	7346	75193
89	7428	75110
90	7511	75033
91	7596	74978
92	7680	74900
93	7760	74800
94	7841	74702
95	7928	74659
96	8011	74579
97	8093	74495
98	8173	74391
99	8255	74301
100	8337	74214
101	8419	74121
102	8500	74025
103	8583	73946
104	8665	73862
105	8751	73811
106	8832	73713
107	8923	73697
108	9016	73705
109	9098	73618
110	9181	73538
111	9260	73419
112	9343	73345
113	9425	73255
114	9506	73156
115	9589	73076
116	9673	73008
117	9758	72941
118	9840	72849
119	9921	72757
120	10007	72695
121	10087	72598
122	10171	72524
123	10254	72443
124	10334	72339
125	10419	72276
126	10500	72179
